ID,NumberofVisits,LnInc,Sex,LnAge,HHSize
1,0,11.37939407,1,3.871201011,2
2,5,9.76995616,1,4.043051268,1
3,0,11.08214255,0,3.33220451,2
4,0,10.91508846,1,3.951243719,3
5,0,10.91508846,1,2.833213344,3
6,0,10.91508846,0,2.944438979,3
7,0,11.19134184,0,3.663561646,2
8,1,11.73606902,0,4.077537444,2
9,0,10.02127059,0,4.248495242,1
10,0,10.91508846,0,3.850147602,3
11,1,10.76848499,0,3.931825633,2
12,0,10.91508846,0,3.988984047,2
13,3,10.53209621,0,3.63758616,2
14,0,10.91508846,0,3.610917913,1
15,0,10.22194128,1,3.583518938,3
16,1,10.76848499,1,3.258096538,3
17,2,12.20607265,0,3.663561646,2
18,0,10.76848499,0,3.951243719,2
19,6,11.19134184,1,3.33220451,2
20,0,10.38899537,1,3.583518938,2
21,2,10.76848499,1,3.33220451,4
22,0,11.19134184,1,3.465735903,2
23,0,11.19134184,1,3.433987204,2
24,2,11.73606902,1,3.80666249,2
25,0,11.37939407,0,4.276666119,2
26,0,10.38899537,0,4.219507705,2
27,0,10.65725935,1,3.496507561,4
28,0,12.07254125,0,3.951243719,2
29,0,10.91508846,1,3.80666249,3
30,0,10.91508846,0,3.526360525,3
31,0,11.19134184,1,3.36729583,2
32,0,10.22194128,1,3.135494216,4
33,0,11.37939407,0,3.33220451,4
34,0,9.076808979,1,3.401197382,1
35,0,10.02127059,1,3.526360525,1
36,0,11.08214255,0,4.060443011,4
37,2,10.22194128,1,3.688879454,2
38,2,12.07254125,1,3.688879454,2
39,1,11.08214255,0,4.17438727,1
40,0,9.528794103,1,2.708050201,3
41,0,11.08214255,1,3.80666249,3
42,0,11.37939407,1,4.127134385,3
43,0,11.37939407,0,4.17438727,3
44,0,10.53209621,1,3.555348061,6
45,0,10.76848499,0,3.218875825,1
46,0,11.37939407,1,3.36729583,2
47,0,11.73606902,0,3.044522438,4
48,0,10.76848499,0,3.526360525,1
49,0,10.38899537,1,2.833213344,3
50,0,10.38899537,1,2.63905733,3
51,0,11.08214255,0,3.737669618,5
52,6,9.76995616,0,3.295836866,1
53,16,9.76995616,0,3.135494216,1
54,1,10.22194128,1,3.465735903,1
55,0,11.37939407,1,3.555348061,2
56,0,11.73606902,0,3.931825633,4
57,0,10.38899537,1,3.737669618,2
58,1,11.19134184,1,3.496507561,2
59,0,10.22194128,0,3.610917913,4
60,0,10.91508846,0,3.891820298,1
61,0,10.91508846,1,3.465735903,3
62,0,10.38899537,1,3.36729583,2
63,0,10.38899537,0,3.465735903,2
64,0,10.76848499,1,3.784189634,2
65,0,9.76995616,1,3.713572067,2
66,0,10.02127059,1,3.17805383,2
67,0,11.37939407,0,4.007333185,2
68,0,11.08214255,0,3.828641396,2
69,1,9.76995616,0,3.433987204,2
70,2,11.11988288,0,3.33220451,6
71,0,10.30895266,1,3.583518938,6
72,0,10.22194128,1,3.555348061,5
73,0,9.76995616,1,3.663561646,4
74,1,11.19134184,1,3.555348061,4
75,0,10.53209621,0,3.496507561,2
76,3,10.22194128,1,3.713572067,6
77,0,10.65725935,1,2.890371758,2
78,0,12.07254125,1,3.091042453,7
79,0,12.07254125,0,3.737669618,2
80,0,11.08214255,1,3.526360525,1
81,0,10.22194128,0,3.295836866,2
82,1,10.65725935,1,4.043051268,1
83,0,10.91508846,0,3.36729583,2
84,0,10.53209621,1,4.043051268,3
85,0,10.38899537,1,3.583518938,3
86,0,11.37939407,1,3.433987204,1
87,0,10.91508846,1,3.871201011,2
88,0,11.73606902,1,3.970291914,6
89,0,11.73606902,1,2.995732274,6
90,1,11.37939407,1,3.433987204,2
91,0,10.53209621,0,3.63758616,1
92,0,11.08214255,0,3.931825633,3
93,4,9.903487553,1,3.555348061,4
94,0,11.73606902,0,3.465735903,2
95,0,10.22194128,1,3.526360525,2
96,0,11.73606902,0,4.043051268,4
97,0,11.08214255,0,3.583518938,4
98,0,11.37939407,0,3.091042453,4
99,0,10.76848499,1,2.708050201,2
100,9,10.76848499,1,3.496507561,4
101,0,10.22194128,1,3.17805383,3
102,0,10.22194128,1,3.135494216,3
103,1,11.73606902,1,3.401197382,2
104,0,11.37939407,0,4.290459441,4
105,0,10.02127059,1,3.433987204,1
106,0,10.22194128,1,3.433987204,1
107,0,10.91508846,1,3.583518938,4
108,0,10.76848499,1,3.583518938,3
109,5,11.73606902,1,3.784189634,4
110,0,11.73606902,1,2.833213344,3
111,0,10.91508846,1,3.828641396,2
112,3,11.73606902,0,3.80666249,3
113,1,10.91508846,1,3.36729583,3
114,0,10.02127059,1,3.465735903,3
115,0,10.65725935,1,3.737669618,2
116,0,10.53209621,1,3.850147602,3
117,0,10.91508846,1,3.63758616,5
118,1,11.37939407,1,2.564949357,2
119,0,11.37939407,0,3.761200116,2
120,0,10.53209621,1,3.36729583,2
121,1,11.37939407,1,3.555348061,2
122,0,10.76848499,0,3.401197382,1
123,0,11.08214255,1,3.555348061,2
